added_iso,country_code,device_type,document_referrer,duration_seconds,is_unique,path,utm_source
2021-01-20T21:00:00.000Z,NL,desktop,,2,true,/,
2021-01-20T21:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T21:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,true,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,mobile,,3,true,/,
2021-01-20T22:00:00.000Z,NL,mobile,,3,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-20T22:00:00.000Z,NL,desktop,,2,false,/,
2021-01-21T03:00:00.000Z,NL,desktop,,,true,/,
2021-01-21T06:00:00.000Z,NL,mobile,,16,false,/,
2021-01-21T06:00:00.000Z,NL,mobile,,16,false,/,
2021-01-21T06:00:00.000Z,NL,mobile,,16,false,/,
2021-01-21T06:00:00.000Z,NL,mobile,,16,true,/,
2021-01-21T07:00:00.000Z,NL,desktop,,,true,/,
2021-01-21T07:00:00.000Z,NL,mobile,,,true,/,
2021-01-21T07:00:00.000Z,NL,desktop,,,false,/,
2021-01-21T07:00:00.000Z,NL,desktop,,,false,/,
2021-01-21T07:00:00.000Z,NL,desktop,,,false,/,
2021-01-21T15:00:00.000Z,NL,desktop,,,true,/,
2021-01-21T15:00:00.000Z,NL,desktop,,,false,/,
2021-01-21T15:00:00.000Z,NL,desktop,,,false,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,true,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,false,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,false,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,false,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,false,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,false,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,false,/,
2021-01-21T17:00:00.000Z,NL,mobile,,11,false,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,false,/,
2021-01-21T18:00:00.000Z,NL,mobile,,2,false,/,
2021-01-21T18:00:00.000Z,NL,mobile,,2,true,/,
2021-01-21T18:00:00.000Z,NL,mobile,,2,false,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,true,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,true,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,false,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,false,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,false,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,false,/,
2021-01-21T18:00:00.000Z,NL,desktop,,16,false,/,
2021-01-21T19:00:00.000Z,PK,desktop,,,true,/,
2021-01-21T21:00:00.000Z,NL,mobile,,9,true,/,
2021-01-21T21:00:00.000Z,NL,mobile,,9,false,/,
2021-01-21T21:00:00.000Z,NL,desktop,,1,true,/,
2021-01-21T21:00:00.000Z,NL,desktop,,1,false,/,
2021-01-21T21:00:00.000Z,NL,mobile,,9,false,/,
2021-01-21T21:00:00.000Z,NL,mobile,,9,false,/,
2021-01-22T04:00:00.000Z,NL,desktop,,,true,/,
2021-01-22T06:00:00.000Z,US,desktop,,,true,/,
2021-01-22T06:00:00.000Z,NL,mobile,,19,true,/,
2021-01-22T06:00:00.000Z,NL,mobile,,19,false,/,
2021-01-22T06:00:00.000Z,NL,mobile,,19,false,/,
2021-01-22T06:00:00.000Z,US,desktop,,,true,/,
2021-01-22T07:00:00.000Z,NL,mobile,,3,false,/,
2021-01-22T07:00:00.000Z,NL,mobile,,3,true,/,
2021-01-22T09:00:00.000Z,NL,desktop,,14,true,/,
2021-01-22T09:00:00.000Z,NL,desktop,,14,false,/,
2021-01-22T09:00:00.000Z,NL,desktop,,14,false,/,
2021-01-22T09:00:00.000Z,NL,desktop,,,true,/,
2021-01-22T09:00:00.000Z,NL,desktop,,,false,/,
2021-01-22T10:00:00.000Z,NL,mobile,,10,true,/,
2021-01-22T10:00:00.000Z,NL,mobile,,10,false,/,
2021-01-22T10:00:00.000Z,NL,mobile,,10,false,/,
